100
(1,0,24.580017384051544)
(2,0,36.428092005834266)
(2,1,16.599693434451112)
(3,0,29.722239402719964)
(3,1,40.88373074103222)
(3,2,25.41169263347873)
(4,0,14.997429484358339)
(4,1,11.991110721322823)
(4,2,28.75770950909537)
(4,3,40.85059996613582)
(5,0,32.425710860446365)
(5,1,27.98910629586089)
(5,2,36.78036950702446)
(5,3,36.77936914703754)
(5,4,37.91477823589621)
(6,0,21.30059639159606)
(6,1,32.5153387202592)
(6,2,25.92588027440625)
(6,3,21.45096144634691)
(6,4,34.72615640016579)
(6,5,34.95551709288366)
(7,0,25.69853933435141)
(7,1,34.44513665534925)
(7,2,24.749054425250087)
(7,3,39.005088396805164)
(7,4,6.2131147496680015)
(7,5,22.955083038782185)
(7,6,37.175339097092916)
(8,0,41.43003464944107)
(8,1,11.079159209977753)
(8,2,44.166665234568946)
(8,3,34.14264261155906)
(8,4,26.441215525849877)
(8,5,37.16025906377885)
(8,6,34.32679983191638)
(8,7,39.49999116852399)
(9,0,29.212713288562767)
(9,1,52.24220201515928)
(9,2,59.10359099090807)
(9,3,36.32248588736471)
(9,4,29.72199502605708)
(9,5,28.2576683902783)
(9,6,29.41030702986362)
(9,7,39.83341471305023)
(9,8,32.086127533502015)
(10,0,33.05824208810512)
(10,1,23.016742130473432)
(10,2,25.737958117448326)
(10,3,26.219171596836702)
(10,4,19.471144512962336)
(10,5,28.90209032694275)
(10,6,28.7850504321193)
(10,7,37.1069180282472)
(10,8,22.414223857352617)
(10,9,33.66751598444501)
(11,0,31.450626598148055)
(11,1,27.2807248946213)
(11,2,32.33994968586014)
(11,3,41.18958596811704)
(11,4,19.6910014607405)
(11,5,28.866771988401624)
(11,6,33.8841023639094)
(11,7,20.94569864439429)
(11,8,36.87236586329905)
(11,9,23.417121493060574)
(11,10,32.470202311791574)
(12,0,38.008204407530165)
(12,1,44.17749897508456)
(12,2,29.483241103415036)
(12,3,40.89913878847451)
(12,4,40.07308007196128)
(12,5,27.50776191385729)
(12,6,31.16362471392665)
(12,7,39.537353950676966)
(12,8,9.070351571936278)
(12,9,40.591100108706414)
(12,10,48.56386415991523)
(12,11,28.00850362584345)
(13,0,38.313376226198656)
(13,1,30.252657004837623)
